country,period,periodstart,periodend,code,bdgdpg,elrgdpg,bdgdp,elrgdp,bdbb,elrbb,bdinfl,elrinfl,bdsacw,elrsacw,bdethnf,elrethnf,bdassas,elrassas,bdicrge,elricrge,bdm21,elrm21,bdssa,elrssa,bddn1900,elrdn1900,bdaid,elraid,bdlpop,elrlpop,bdeasia,elreasia,bdegypt,elregypt,bdcentam,elrcentam,bdfrz,elrfrz,bdarms1,elrarms1,originalcountries,bddatap,bddatao,elrdatabdcos7093bdvarsp,elrdatabdcos7093bdvarso,elrdatabdcos7097bdvarsp,elrdatabdcos7097bdvarso,elrdata7093bdvarsp,elrdata7093bdvarso,elrdata7097bdvarsp,elrdata7097bdvarso
IRN,6,1986,1989,IRN6,-7.085019111633301,-5.137845039367676,3590,3590,-0.07129719853401184,-0.07129699736833572,0.21856389939785004,0.21856409311294556,0,0,NA,0.7599999904632568,NA,0,NA,1.600000023841858,NA,49.11307144165039,0,0,1,-1,0.03797420114278793,0.004383299965411425,NA,17.74863052368164,0,0,NA,0,NA,0,NA,0,NA,0.1322920024394989,0,0.4842889904975891,0,0.7385001182556152,NA,0.8115434050559998,NA,0.636542797088623,0,0.7395433783531189,0
IRN,7,1990,1993,IRN7,4.049871921539307,5.666965961456299,3392,3392,-0.0149764996021986,-0.014965600334107876,0.16312649846076965,0.16337190568447113,0,0,NA,0.7599999904632568,NA,0,NA,1.600000023841858,NA,52.71500015258789,0,0,1,-1,0.06811030209064484,0.025963999330997467,NA,17.83599090576172,0,0,NA,0,NA,0,NA,0,NA,0.19992280006408691,0,0.9473105072975159,0,0.9144114851951599,NA,1.0804020166397095,NA,0.9817708134651184,0,1.1772470474243164,0
IRN,8,1994,1997,IRN8,NA,1.5373549461364746,NA,3795.925048828125,NA,0.00411259988322854,NA,0.272685706615448,NA,0,NA,0.7599999904632568,NA,0.25,NA,1.600000023841858,NA,44.92591094970703,NA,0,NA,-1,NA,0.02697259932756424,NA,17.900150299072266,NA,0,NA,0,NA,0,NA,0,NA,0.0622485987842083,0,NA,0,0.7300143241882324,NA,0.926612377166748,NA,0.8693832755088806,NA,1.0836900472640991,0
IRQ,1,1966,1969,IRQ1,0.8350141048431396,1.3663389682769775,4449,4449,NA,NA,0.03238769993185997,NA,0,0,NA,0.36000001430511475,NA,0,NA,2.3333330154418945,NA,20.469499588012695,0,0,1,-1,NA,NA,NA,15.971170425415039,0,0,NA,0,NA,0,NA,0,NA,0.16646860539913177,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,2,1970,1973,IRQ2,1.9164199829101563,2.279486894607544,4409,4409,NA,NA,0.0440681017935276,NA,0,0,NA,0.36000001430511475,NA,0.5,NA,2.3333330154418945,NA,21.054119110107422,0,0,1,-1,NA,0.01381940022110939,NA,16.100370407104492,0,0,NA,0,NA,0,NA,0,NA,0.2160084992647171,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,3,1974,1977,IRQ3,5.05702018737793,5.28793478012085,4999,4999,NA,NA,0.09336359798908234,NA,0,0,NA,0.36000001430511475,NA,0,NA,2.3333330154418945,NA,20.46500015258789,0,0,1,-1,NA,-0.016269400715827942,NA,16.231849670410156,0,0,NA,0,NA,0,NA,0,NA,0.3037571907043457,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,4,1978,1981,IRQ4,-10.509570121765137,-5.647046089172363,6456,6456,NA,NA,0.04508790001273155,NA,0,0,NA,0.36000001430511475,NA,0.25,NA,2.3333330154418945,NA,15.698040008544922,0,0,1,-1,NA,NA,NA,16.364410400390625,0,0,NA,0,NA,0,NA,0,NA,0.2537876069545746,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,5,1982,1985,IRQ5,-1.8043800592422485,0.398855596780777,4164,4164,NA,NA,NA,NA,0,0,NA,0.36000001430511475,NA,0,NA,2.3333330154418945,NA,NA,0,0,1,-1,NA,NA,NA,16.49502944946289,0,0,NA,0,NA,0,NA,0,NA,0.4428384006023407,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,6,1986,1989,IRQ6,-9.858518600463867,-8.848238945007324,3786,3786,NA,NA,NA,NA,0,0,NA,0.36000001430511475,NA,0,NA,2.3333330154418945,NA,NA,0,0,1,-1,NA,NA,NA,16.62820053100586,0,0,NA,0,NA,0,NA,0,NA,0.5501468777656555,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,7,1990,1993,IRQ7,-56.48714065551758,-42.468170166015625,NA,2148.8740234375,NA,NA,NA,NA,0,0,NA,0.36000001430511475,NA,0,NA,2.3333330154418945,NA,NA,0,0,1,-1,NA,NA,NA,16.754880905151367,0,0,NA,0,NA,0,NA,0,NA,0.6375936269760132,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
IRQ,8,1994,1997,IRQ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0.36000001430511475,NA,0.25,NA,2.3333330154418945,NA,NA,NA,0,NA,-1,NA,NA,NA,16.862089157104492,NA,0,NA,0,NA,0,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
JAM,1,1966,1969,JAM1,2.674307107925415,2.3647539615631104,2179,2179,NA,NA,0.04183899983763695,0.041839100420475006,1,1,NA,0.05000000074505806,NA,0,NA,3.706666946411133,NA,22.20701026916504,0,0,1,-1,NA,NA,NA,14.410920143127441,0,0,NA,0,NA,0,NA,0,NA,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
JAM,2,1970,1973,JAM2,4.590825080871582,4.828062057495117,2645,2645,NA,NA,0.10126420110464096,0.10126420110464096,1,1,0.05000000074505806,0.05000000074505806,0,0,4.696875095367432,3.706666946411133,30.579980850219727,26.071149826049805,0,0,1,-1,0.503522515296936,0.15864969789981842,14.463319778442383,14.463239669799805,0,0,0,0,0,0,0,0,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
JAM,3,1974,1977,JAM3,-4.376965045928955,-4.420693874359131,2922,2922,-0.13726909458637238,-0.13726909458637238,0.14999739825725555,0.14999669790267944,0,0,0.05000000074505806,0.05000000074505806,0.75,0.75,4.696875095367432,3.706666946411133,34.846778869628906,32.51380920410156,0,0,1,-1,0.37991979718208313,0.16636259853839874,14.520210266113281,14.520509719848633,0,0,0,0,0,0,0,0,0,0,1,0.12857289612293243,0,0.7863665819168091,0,0.7514625191688538,0,0.4708535075187683,0,0.4785479009151459,0
JAM,4,1978,1981,JAM4,-2.2398600578308105,-2.3070220947265625,2601,2601,-0.13875359296798706,-0.13875359296798706,0.22899219393730164,0.22899280488491058,0,0,0.05000000074505806,0.05000000074505806,0.25,0.25,4.696875095367432,3.706666946411133,33.0276985168457,30.808700561523438,0,0,1,-1,1.5296159982681274,1.3202450275421143,14.567819595336914,14.566829681396484,0,0,0,0,0,0,0,0,0,0,1,0.007970400154590607,0,0.6339396238327026,0,0.5960580110549927,0,0.3228488862514496,0,0.3205409049987793,0
