"imwbcnt","imwbcrm","imdetbs","imdetmr","smegbli","smegbhw","almuslv","gndr","agea","edlvdno","trstplt","lrscale"
5,5,0,0,2,2,1,2,42,13,7,2
6,3,5,10,2,2,2,2,70,9,5,4
7,5,0,0,2,2,2,1,37,13,7,4
8,1,0,0,2,2,2,2,25,6,4,7
5,4,2,0,2,2,2,1,52,6,7,5
5,5,0,0,2,2,2,1,45,10,5,4
5,3,0,0,2,2,3,2,33,NA,6,5
6,2,5,5,2,1,2,1,67,3,7,3
5,2,0,0,2,2,2,2,44,10,6,3
5,3,5,5,2,1,1,2,71,10,6,5
3,1,3,4,2,2,4,2,60,6,3,5
9,5,1,1,2,2,1,2,60,10,8,2
4,2,2,2,2,2,2,1,28,5,4,8
5,1,0,0,2,2,2,1,67,13,5,8
10,10,0,0,2,2,2,1,49,13,10,5
6,3,3,3,2,2,1,1,76,12,6,4
5,1,1,1,2,2,1,2,66,10,4,7
4,0,3,3,2,2,3,1,59,12,5,7
5,5,3,3,2,2,2,2,58,9,6,5
6,5,0,0,2,2,1,1,22,5,2,6
9,1,3,5,2,2,2,2,83,7,7,8
5,2,0,0,2,2,1,1,23,5,6,3
5,4,0,0,2,2,2,2,27,8,6,4
2,7,2,3,2,2,2,2,56,3,5,4
8,3,3,3,2,2,2,2,28,13,8,3
9,5,0,0,2,2,1,1,36,13,6,2
6,1,1,3,2,2,2,2,61,4,6,3
5,3,2,4,2,2,2,2,67,10,7,3
6,0,1,0,2,2,1,1,19,5,8,7
3,3,5,7,2,1,3,2,67,3,5,5
7,8,0,0,2,2,1,1,65,5,9,5
1,8,2,3,2,2,3,2,52,10,1,8
4,4,0,3,2,2,2,2,80,8,7,7
6,8,4,0,2,2,4,1,53,6,6,5
5,3,0,0,2,2,1,2,44,10,4,3
NA,3,5,2,2,2,2,1,18,3,5,5
7,4,0,0,2,2,1,2,61,11,6,8
7,5,2,2,2,2,2,2,63,13,5,5
6,4,0,0,2,2,1,2,19,5,4,4
6,8,5,2,2,1,2,1,70,3,5,10
8,5,2,2,2,2,2,1,48,6,3,5
5,3,0,0,2,2,2,1,17,3,5,5
6,6,2,2,2,2,2,1,70,6,6,7
5,4,1,0,2,2,2,1,21,5,6,7
10,5,0,0,2,2,1,1,52,10,7,2
3,1,0,0,2,2,2,1,33,5,3,8
8,4,2,2,2,2,2,1,44,13,5,5
0,5,0,0,2,2,3,2,41,5,7,5
5,3,0,0,2,2,1,1,22,11,7,7
4,1,0,0,2,2,2,2,56,6,4,6
3,2,6,3,2,1,2,2,22,3,5,9
8,2,1,1,2,1,1,2,56,3,8,10
1,1,1,1,2,2,1,1,55,8,4,8
5,7,3,3,2,2,2,1,68,3,6,4
7,4,5,5,2,2,2,2,46,12,5,5
3,1,0,2,2,1,3,2,19,3,5,5
5,8,5,4,2,2,2,2,44,5,7,7
5,0,4,5,2,1,3,2,52,5,4,5
4,3,0,3,2,2,3,1,54,6,6,5
8,1,2,7,2,1,1,1,69,5,6,2
8,4,0,0,2,2,2,1,29,9,6,7
7,5,1,1,2,2,1,1,67,11,8,3
6,5,0,6,2,1,2,2,50,5,3,5
7,6,0,0,2,2,2,2,15,2,8,6
7,3,1,1,2,1,2,1,41,6,7,3
4,2,1,0,2,2,2,2,28,6,3,3
6,3,3,3,2,2,2,1,37,8,5,2
5,3,2,2,2,2,2,2,71,7,4,2
5,3,0,0,2,1,2,2,55,6,6,5
7,2,3,4,2,2,2,1,71,13,3,4
5,8,0,0,2,2,1,2,41,6,5,4
6,2,5,3,2,2,3,2,51,10,2,4
5,3,0,0,2,1,2,1,71,10,5,0
4,0,4,9,2,2,3,1,55,6,5,6
8,3,5,7,1,2,3,1,55,9,5,7
7,5,0,0,2,2,1,2,23,5,7,6
9,5,0,0,2,2,1,1,64,9,4,3
3,2,4,8,1,2,3,2,53,6,4,7
3,2,2,2,2,2,2,1,47,9,6,4
5,2,0,0,2,2,2,2,43,12,6,4
5,2,4,4,2,2,2,1,41,10,7,5
NA,5,3,3,2,2,4,1,49,6,1,5
5,2,3,3,2,1,2,1,40,6,2,5
5,7,0,5,2,2,3,2,58,5,4,4
3,2,5,7,2,1,3,2,23,6,1,5
0,0,5,8,2,2,4,1,22,6,5,4
NA,4,3,3,2,2,3,2,90,2,3,5
4,2,2,0,2,2,3,1,35,6,4,5
5,9,1,10,2,1,2,1,48,6,6,4
5,8,0,0,2,2,2,2,52,6,6,4
6,7,2,3,2,1,2,2,68,6,5,6
6,2,1,7,2,2,2,2,66,10,6,5
5,3,0,0,2,2,2,2,23,9,5,3
4,2,0,2,2,2,3,1,46,11,7,9
8,3,1,2,2,2,2,1,37,8,6,3
5,5,0,0,2,2,1,2,40,10,7,5
3,1,3,3,2,1,3,2,17,3,5,7
8,3,0,0,2,2,2,1,52,9,7,7
5,3,0,10,2,2,3,1,47,5,5,8
8,0,2,8,2,2,3,1,61,8,4,7
6,3,0,0,2,1,2,1,78,3,5,7
7,2,3,3,2,1,1,1,62,6,3,3
5,6,2,9,2,1,3,2,77,10,8,7
8,4,3,0,2,2,2,2,36,10,7,3
8,5,0,0,2,2,2,2,72,5,7,4
7,4,0,0,2,2,2,2,29,8,5,2
8,5,2,2,2,1,2,2,56,12,7,4
5,2,3,10,2,2,3,2,69,3,3,5
6,2,3,3,2,1,3,1,68,10,5,10
6,2,3,3,2,2,2,1,54,9,6,6
6,4,0,0,2,2,2,2,16,3,7,8
4,0,0,0,2,2,2,2,34,5,6,7
8,4,0,3,2,2,1,1,44,6,4,3
5,7,0,0,2,1,3,1,24,6,3,7
5,5,1,0,2,2,2,1,56,8,6,6
5,1,1,1,2,1,4,1,74,3,2,10
7,2,0,0,2,2,1,1,22,5,5,6
3,2,4,8,2,2,2,2,64,3,3,2
5,2,2,2,2,2,2,2,68,9,3,2
5,4,7,6,2,2,3,2,24,5,4,5
5,3,8,6,2,2,3,2,58,2,6,4
3,2,2,5,2,1,2,1,15,2,5,3
7,3,3,4,2,1,3,1,59,3,8,6
6,4,1,1,2,2,2,1,65,13,7,7
6,5,0,0,2,2,1,1,64,6,5,3
