country,year,fdi_inflow,bits,ln_gdp_pr_cap,ln_population,economic_growth,inflation,resource_rent,bilateral_trade_agreements,wto_member,polcon3
Bosnia and Herzegovina,1982,NA,0,NA,15.250595092773438,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1983,NA,0,NA,15.250595092773438,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1984,NA,0,NA,15.274126052856445,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1985,NA,0,NA,15.274126052856445,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1986,NA,0,NA,15.297115325927734,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1987,NA,0,NA,15.297115325927734,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1988,NA,0,NA,15.297115325927734,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1989,NA,0,NA,15.297115325927734,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1990,NA,0,NA,15.319587707519531,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1991,NA,0,NA,15.297115325927734,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1992,NA,0,NA,15.226497650146484,NA,NA,NA,0,0,NA
Bosnia and Herzegovina,1993,NA,0,NA,15.17648696899414,NA,NA,NA,0,0,0
Bosnia and Herzegovina,1994,-3.485028028488159,0,NA,15.096444129943848,NA,NA,NA,0,0,0
Bosnia and Herzegovina,1995,0,0,NA,15.039285659790039,NA,8.850000381469727,0.20000000298023224,0,0,0
Bosnia and Herzegovina,1996,-0.0193122997879982,0,NA,15.068273544311523,NA,-17.059999465942383,0.10000000149011612,0,0,0.20000000298023224
Bosnia and Herzegovina,1997,3.982137441635132,0,NA,15.1238431930542,NA,8.550000190734863,0.10000000149011612,0,0,0.47999998927116394
Bosnia and Herzegovina,1998,4.986333847045898,5.817771911621094,NA,15.150511741638184,NA,9.050000190734863,0,0,0,0.47999998927116394
Bosnia and Herzegovina,1999,4.926728248596191,5.6813859939575195,NA,15.17648696899414,NA,3.2300000190734863,0,0,0,0.5299999713897705
Bosnia and Herzegovina,2000,4.7811970710754395,13.579379081726074,NA,15.201805114746094,NA,4.559999942779541,0,0,0,0.5299999713897705
Bosnia and Herzegovina,2001,5.685197353363037,18.928112030029297,NA,15.226497650146484,NA,3.9600000381469727,0.10000000149011612,0,0,0.07000000029802322
