"idno","gender","age","income_decile","income_feel","ppl_take_advantage","ppl_mostly_helpful","trust_legal","trust_police","trust_politicians","trust_ep","trust_un","trust_polparties","trust_parliament","satisfied_government","satisfied_democracy","satisfied_economy"
11987,1,36,9,1,8,6,10,9,7,5,NA,9,9,9,8,10
12024,2,50,8,1,8,8,9,9,6,8,10,8,8,8,8,8
12095,1,36,3,2,7,7,8,7,4,1,5,5,6,4,8,7
12118,2,37,9,1,8,6,8,8,7,7,7,6,8,7,7,7
12129,2,62,2,1,6,5,9,9,9,4,5,8,9,5,8,8
12180,1,32,9,1,5,7,8,9,5,7,8,5,6,3,8,9
12267,1,38,8,1,5,6,8,8,5,5,8,5,5,4,8,10
12354,1,37,6,2,7,5,9,7,7,7,8,7,8,7,8,8
12400,1,42,4,2,5,5,10,10,7,7,10,7,10,5,5,7
12453,1,57,6,1,8,8,7,6,5,5,6,5,7,7,8,8
12455,2,48,9,1,8,6,9,9,6,5,8,6,8,7,9,8
12504,1,74,3,2,3,7,8,9,0,4,6,0,0,0,2,4
12535,1,65,3,2,8,7,8,8,6,6,8,6,8,7,8,8
12561,2,36,9,1,2,3,6,7,3,5,3,4,4,0,3,2
12581,2,26,5,2,6,5,7,8,5,NA,6,4,6,5,7,6
12604,1,74,6,1,8,7,9,10,8,7,8,8,9,9,9,9
12631,2,59,7,1,8,9,5,6,6,7,8,6,8,8,8,8
12652,1,33,2,3,2,3,6,6,5,6,7,6,7,7,10,10
12704,1,36,8,1,6,3,6,8,2,NA,4,2,2,2,2,7
12899,2,21,3,1,4,3,6,9,3,5,7,4,5,7,9,8
12929,1,18,5,2,7,5,10,10,8,7,9,7,9,8,10,10
13012,2,41,3,2,8,7,7,7,6,4,8,5,7,5,7,8
13062,1,41,4,1,10,10,10,10,10,10,8,6,10,10,10,10
13069,2,43,2,4,9,7,2,2,3,5,7,5,7,8,9,8
13162,2,26,9,1,6,6,6,8,4,5,7,6,6,3,8,10
13170,1,18,6,1,8,2,7,8,6,NA,8,6,7,4,8,7
13175,2,78,5,2,7,4,8,9,4,NA,6,3,3,2,9,10
13215,1,82,2,1,10,5,9,8,7,5,8,6,8,7,7,9
13249,2,57,6,2,8,7,7,8,5,4,6,5,5,6,6,6
13317,2,NA,6,1,5,7,5,5,4,5,6,5,5,6,6,5
13340,1,27,8,2,7,3,8,8,5,5,8,4,5,6,6,8
13412,1,24,6,3,5,2,8,9,8,8,10,6,9,8,10,7
13457,2,42,7,1,8,8,8,8,7,7,9,6,8,7,10,9
13471,1,50,7,1,5,5,10,10,9,7,5,9,9,9,10,10
13518,2,21,2,2,7,3,5,8,4,7,8,6,6,6,7,7
13568,2,47,9,1,8,7,9,7,4,2,8,4,7,4,5,10
13652,2,76,4,1,6,5,8,7,5,5,7,5,7,5,7,8
13663,2,60,10,1,9,8,10,9,9,6,8,7,10,5,10,10
13669,1,56,7,1,6,6,6,6,5,6,6,5,6,7,7,8
13709,1,41,4,2,5,4,7,7,1,NA,8,2,2,0,7,6
13783,1,57,7,1,7,5,7,4,4,3,5,5,8,4,7,5
13801,1,48,6,1,8,5,9,7,5,5,8,6,8,7,7,10
13811,1,46,4,2,8,8,8,9,6,5,6,6,9,7,8,7
13848,1,79,3,1,7,7,10,10,8,7,7,8,10,3,7,6
13880,1,60,5,1,9,10,9,6,6,6,8,7,7,6,9,8
13948,1,79,3,1,4,5,9,8,5,5,4,5,8,5,8,8
14008,2,73,7,2,6,6,8,7,6,4,5,6,7,8,8,8
14010,2,68,2,1,8,8,7,8,7,5,8,8,9,9,9,8
14090,2,75,1,1,7,7,5,6,5,NA,7,5,5,5,5,7
14168,2,53,8,1,3,8,6,8,4,5,7,6,8,8,8,7
14179,1,16,3,1,9,8,6,10,9,8,10,9,10,10,10,10
14274,1,53,8,1,9,10,9,10,4,2,5,2,5,7,6,10
14358,1,58,4,2,8,7,7,7,7,6,8,6,8,7,8,9
14364,2,87,3,2,10,10,8,8,7,8,9,7,7,6,8,6
14463,1,56,4,1,4,6,1,1,1,1,2,1,0,2,1,5
14466,2,58,10,1,8,7,8,8,6,6,8,7,6,6,7,7
14475,1,70,6,2,5,8,8,8,9,7,5,9,7,8,9,10
14632,2,72,5,1,8,6,7,8,6,6,6,5,6,6,9,9
14665,2,19,NA,1,7,5,5,5,3,NA,NA,3,0,2,NA,7
14666,2,34,7,1,10,8,10,10,7,7,9,8,9,7,8,8
14675,1,55,6,1,8,8,9,9,8,7,8,7,8,3,8,8
14704,1,22,NA,2,NA,4,NA,8,8,6,8,8,9,7,9,8
14821,1,42,6,2,9,7,8,9,7,5,8,4,5,5,7,8
14846,2,22,3,3,5,3,9,9,6,8,5,8,9,6,9,8
14912,1,43,4,1,7,5,9,9,3,7,9,4,6,3,4,9
15041,2,70,3,1,7,7,8,8,5,5,6,5,6,7,7,6
15154,2,70,3,1,8,10,10,10,5,2,7,5,8,5,8,6
15228,1,64,7,1,3,5,8,8,4,1,3,3,7,6,8,10
15230,2,54,4,2,8,7,8,10,0,0,8,3,2,5,7,8
15245,1,48,9,1,8,6,8,10,4,8,8,6,6,6,7,7
15287,1,49,9,1,7,5,9,8,6,5,4,6,6,7,8,8
15289,1,75,2,3,2,6,8,7,6,6,8,6,7,5,6,8
15416,1,16,8,1,8,6,9,9,6,6,7,6,6,6,7,8
15418,1,16,NA,2,7,7,10,9,8,10,10,9,10,9,10,9
15446,2,37,9,2,8,5,9,8,7,9,9,8,8,9,10,9
15468,1,48,9,1,9,8,9,9,7,6,8,7,8,8,7,8
15500,2,34,3,2,8,7,8,8,7,NA,8,7,8,4,7,8
15554,1,39,6,2,6,6,6,6,2,3,7,2,8,1,3,6
15577,1,18,NA,1,7,7,6,8,8,6,9,7,7,7,9,8
15584,1,61,7,2,7,7,8,9,6,7,8,6,8,6,8,9
15593,1,30,3,1,8,7,5,7,2,NA,5,2,5,7,5,6
15604,1,54,7,2,8,7,9,9,8,7,6,8,8,8,9,9
15822,1,21,3,2,6,5,4,4,3,5,8,5,7,7,8,7
15827,1,62,3,1,8,9,10,10,8,7,9,7,10,7,10,9
15895,2,15,NA,2,7,6,8,9,9,7,9,8,8,8,9,9
15929,1,39,4,1,5,6,8,8,3,5,8,3,5,6,1,10
15937,2,21,1,2,7,8,7,8,7,7,8,7,7,8,8,8
16018,2,55,8,1,7,6,9,9,6,5,5,6,6,9,8,9
16047,1,31,6,1,7,4,9,9,7,7,7,7,8,7,9,8
16054,1,39,3,1,8,7,9,8,7,6,8,7,8,5,8,8
16106,2,62,6,1,7,7,5,5,3,5,6,5,5,3,5,6
16130,2,39,9,2,6,8,3,3,2,2,5,2,2,1,5,10
16172,1,62,4,2,6,5,9,9,7,6,9,5,8,7,6,6
16206,1,61,5,1,6,8,7,9,8,7,8,7,8,6,9,8
16231,2,62,2,1,6,9,9,9,4,2,7,4,6,7,8,8
16251,1,24,NA,1,10,8,7,3,3,6,9,5,5,3,7,8
16283,2,23,5,2,7,5,3,7,6,5,6,7,4,5,6,5
16320,1,29,3,3,7,2,8,4,4,7,9,4,5,5,7,6
16396,2,26,NA,2,4,4,7,7,5,NA,7,4,7,NA,7,NA
16471,2,45,6,1,7,7,7,8,4,5,8,5,6,7,8,9
16558,1,23,9,2,7,6,6,6,3,5,8,4,8,5,8,9
16584,1,35,3,2,9,7,10,10,6,NA,7,5,8,5,10,7
16603,1,62,6,2,7,5,8,8,4,NA,6,4,6,8,7,8
16608,2,62,6,1,7,7,5,6,4,7,5,7,5,8,8,9
16624,1,35,10,2,8,5,9,7,7,5,5,9,8,7,9,7
16712,2,46,2,2,3,8,1,2,5,4,8,6,9,5,9,8
16849,2,42,NA,1,10,5,8,8,7,5,8,8,8,5,9,5
16874,2,36,4,2,7,3,6,5,5,7,8,5,6,5,8,3
16925,2,53,10,1,10,8,9,9,7,7,9,7,9,7,9,10
17045,2,66,NA,2,8,8,9,9,3,4,5,4,5,6,8,8
17052,1,68,9,1,4,8,4,4,4,4,6,6,5,8,8,8
17102,2,69,5,1,10,8,10,10,8,7,7,8,8,8,10,10
17121,1,46,8,1,8,6,8,8,6,7,8,6,7,6,6,8
17158,2,44,9,1,8,9,7,7,7,5,5,6,6,4,7,8
17335,1,63,3,2,8,7,8,8,5,NA,7,6,5,2,8,7
17482,1,49,8,1,9,8,8,6,5,6,8,6,7,4,8,9
17518,1,53,5,1,7,8,7,8,1,NA,2,1,2,2,3,3
17612,1,48,7,1,7,5,8,6,7,6,9,7,9,6,9,7
17640,2,42,7,2,6,7,7,8,5,NA,9,6,6,6,7,7
17646,1,58,9,1,8,7,9,9,7,8,9,7,6,7,9,9
17652,2,36,8,1,9,8,7,6,5,6,6,4,5,4,7,6
17755,1,49,6,1,8,6,9,9,7,NA,9,7,8,5,7,8
17801,1,75,NA,2,5,7,8,8,8,8,8,8,8,7,8,NA
17903,1,32,8,1,7,4,8,8,3,5,6,3,5,7,5,7
17938,1,63,2,3,6,8,7,5,4,5,7,8,6,4,5,3
17950,1,22,6,3,5,7,8,6,3,5,7,5,6,4,3,6
18035,1,60,5,1,9,6,9,9,5,5,5,6,8,3,8,9
18090,2,61,8,1,6,5,4,4,3,2,6,3,4,6,5,7
18193,1,66,1,3,6,7,0,2,0,0,3,0,0,0,2,0
18231,2,53,3,3,5,5,5,8,0,2,2,0,1,1,7,2
18377,1,57,4,1,4,4,8,5,5,NA,5,6,8,6,9,7
18395,2,23,5,2,4,2,6,8,3,5,6,3,3,3,4,4
18491,2,67,5,1,8,5,2,3,2,NA,3,2,3,3,6,3
18628,2,54,2,1,7,6,5,6,3,5,6,3,4,6,3,5
18671,2,22,2,2,5,5,3,3,5,5,7,3,5,5,7,5
18694,2,63,6,1,6,5,9,9,6,NA,7,6,8,4,7,7
18695,2,38,1,2,NA,7,8,8,7,10,NA,8,9,6,10,5
18697,1,58,NA,2,10,10,6,6,5,7,10,5,5,5,5,8
18712,1,53,4,2,2,4,9,3,4,4,5,6,6,4,5,5
18852,2,24,6,1,7,6,7,8,6,7,9,6,7,5,5,7
18868,1,35,3,1,8,7,5,4,3,2,4,4,1,2,5,7
18898,2,50,7,2,3,7,6,6,2,3,7,4,3,7,7,7
18925,1,37,3,2,8,4,8,7,7,9,8,7,8,6,9,9
18953,1,81,6,1,7,8,5,8,2,6,3,9,3,9,6,9
18968,1,21,7,2,8,6,10,10,7,10,6,7,10,7,10,9
19126,1,68,4,1,8,5,8,8,6,6,7,7,8,9,9,9
19139,1,23,9,2,9,5,10,10,5,NA,8,5,9,5,10,7
19172,1,56,8,1,5,5,5,5,5,5,5,4,5,3,7,3
19182,2,19,2,2,5,5,10,10,9,10,10,10,10,10,10,8
19196,1,31,1,2,7,8,8,6,0,8,6,6,5,2,2,2
19200,2,55,2,3,7,7,9,9,7,5,9,6,8,3,7,4
19223,2,90,3,1,10,8,7,7,5,6,7,4,4,5,7,7
19333,1,34,5,1,8,5,8,8,6,7,9,5,9,7,9,9
19343,1,66,7,1,5,6,9,5,3,7,4,4,8,6,9,9
19370,2,37,3,1,8,6,8,8,5,NA,8,5,6,6,7,7
19371,2,27,7,1,8,8,7,8,5,5,5,5,5,1,5,7
19398,1,51,4,1,9,8,9,9,4,4,6,4,5,4,10,9
19428,2,26,6,1,8,6,9,9,7,7,7,7,9,4,9,7
19437,1,60,4,2,7,7,6,6,6,6,9,7,7,5,9,8
19480,2,33,NA,2,8,7,8,10,5,NA,10,5,10,4,10,7
19483,2,60,10,1,6,4,6,7,2,2,4,2,5,0,2,4
19625,2,27,4,3,3,4,3,6,4,3,5,4,4,4,5,2
19630,2,NA,2,1,5,6,9,9,5,NA,7,7,8,6,8,9
19642,2,23,1,1,6,6,7,7,6,6,7,6,7,7,7,7
19660,2,63,10,1,7,7,8,9,5,6,8,5,6,6,8,9
19704,2,17,6,2,6,5,9,8,7,6,9,7,9,6,10,9
19799,2,29,3,1,8,5,9,8,7,6,7,7,7,6,9,7
19832,2,60,3,3,8,5,10,10,5,3,7,7,8,6,8,8
19856,2,90,NA,2,10,10,9,10,8,NA,10,5,9,5,9,9
19995,2,41,2,NA,NA,10,NA,NA,NA,7,NA,8,10,8,6,8
20022,2,28,2,1,6,5,10,10,7,NA,7,7,7,3,9,8
20070,1,33,7,2,5,3,4,7,4,6,7,4,4,4,7,6
20119,2,36,2,2,7,5,6,6,4,5,5,4,6,5,6,5
20164,2,41,5,1,5,4,NA,10,7,7,9,7,10,5,7,8
20167,2,35,6,2,6,5,8,7,5,2,6,5,6,1,8,6
20369,1,49,5,2,9,6,9,8,8,8,9,8,8,3,8,7
20461,1,62,5,2,8,4,7,7,4,4,4,4,5,5,5,7
20466,1,26,2,2,9,5,10,10,9,5,10,9,10,7,10,5
20548,1,78,4,1,6,8,8,8,7,6,6,5,9,8,8,8
20556,1,59,5,2,7,8,9,10,8,6,5,7,10,7,10,8
20698,1,72,3,1,7,7,6,8,6,8,8,7,3,3,8,6
