"idno","cntry","country","gender","age","income_feel","income_decile","trust_parl","trust_legalsys","trust_police","trust_politicians","trust_polparties","trust_eurparl","trust_unitednations"
466,"AT","Austria","female",73,1,NA,4,3,3,3,3,3,3
467,"AT","Austria",NA,79,1,3,7,9,9,7,7,6,6
473,"AT","Austria","male",40,2,5,7,7,9,9,8,7,9
474,"AT","Austria",NA,29,1,5,9,8,9,6,6,4,7
475,"AT","Austria",NA,28,1,5,7,7,9,9,8,7,4
476,"AT","Austria",NA,44,2,4,6,10,9,9,8,7,10
481,"AT","Austria",NA,49,2,4,0,0,7,0,0,0,0
482,"AT","Austria",NA,61,2,NA,0,0,0,0,0,0,0
483,"AT","Austria","male",63,2,3,0,7,7,3,3,0,7
484,"AT","Austria","male",29,2,NA,0,0,0,0,0,0,0
485,"AT","Austria",NA,71,2,NA,0,0,0,0,0,0,0
486,"AT","Austria","female",25,2,3,0,0,0,0,0,0,0
487,"AT","Austria","male",66,2,2,5,6,6,3,5,5,7
488,"AT","Austria",NA,25,2,NA,8,8,7,5,4,5,6
489,"AT","Austria",NA,58,1,3,0,0,0,0,0,0,0
493,"AT","Austria","male",24,3,4,0,6,7,0,0,0,0
494,"AT","Austria","female",47,1,4,4,7,8,3,3,7,5
495,"AT","Austria","male",66,2,5,4,6,7,3,3,2,5
496,"AT","Austria","male",71,2,9,5,8,8,2,1,5,6
497,"AT","Austria","male",70,1,9,5,6,6,2,2,6,3
498,"AT","Austria","female",57,1,7,5,9,10,7,7,7,5
499,"AT","Austria",NA,57,2,2,5,5,5,2,2,2,2
500,"AT","Austria","female",74,2,2,5,5,7,2,2,4,5
505,"AT","Austria",NA,58,2,NA,7,7,8,5,5,6,7
506,"AT","Austria","female",32,1,NA,8,9,9,5,5,7,8
507,"AT","Austria","male",21,2,NA,9,9,8,5,5,8,9
508,"AT","Austria","female",48,3,2,6,7,6,3,3,5,6
509,"AT","Austria",NA,28,2,6,7,8,8,NA,NA,6,8
510,"AT","Austria",NA,39,3,6,4,8,8,5,5,7,7
517,"AT","Austria",NA,59,4,1,2,4,4,2,2,2,4
518,"AT","Austria",NA,72,3,7,2,6,9,2,1,1,2
519,"AT","Austria","male",50,4,1,8,8,8,8,8,5,5
520,"AT","Austria",NA,61,2,5,2,2,2,0,0,0,0
525,"AT","Austria","male",17,2,NA,7,7,8,7,5,8,5
