"","country","period","gdp_growth","aid","policy","gdp_pr_capita","ethnic_frac","assasinations","sub_saharan_africa","fast_growing_east_asia","institutional_quality","m2_gdp_lagged"
"734","MAR","6","  2.1315539",0.5546178,3.026258,2104,0.53,0,"  0","  0",4.303125,44.097271
"735","MAR","7"," -0.8759910",1.024858,3.216192,2151,0.53,0,"  0","  0",4.303125,46.135601
"746","MDG","2"," -1.1891400",1.887127,1.071853,1146,0.06,0,"  1","  0",4.666667,20.673901
"747","MDG","3"," -2.1541910",1.774604,1.018873,1014,0.06,0,"  1","  0",4.666667,22.68475
"748","MDG","4"," -2.6535611",1.534978,NA,905,0.06,0,"  1","  0",4.666667,22.803169
"749","MDG","5"," -2.2792060",2.086652,NA,821,0.06,0,"  1","  0",4.666667,25.72056
"750","MDG","6"," -0.4948756",3.367147,0.8063396,730,0.06,0,"  1","  0",4.666667,17.67268
"751","MDG","7"," -3.1098101",3.7852759,0.8395147,675,0.06,0.25,"  1","  0",4.666667,16.448931
"762","MEX","2","  3.7077999",0.0231582,1.018433,3987,0.3,0.25,"  0","  0",5.414063,16.702169
"763","MEX","3","  1.8405010",0.0125563,0.7844409,4782,0.3,0,"  0","  0",5.414063,16.20595
"764","MEX","4","  5.7570438",0.0219669,0.7376471,5208,0.3,0.25,"  0","  0",5.414063,19.175591
"765","MEX","5"," -2.0507231",0.0302771,-0.0625901,5942,0.3,0.25,"  0","  0",5.414063,30.40843
"766","MEX","6"," -1.5747679",0.0017184,1.875501,5283,0.3,0.5,"  0","  0",5.414063,28.14155
"767","MEX","7","  0.7187295",0.0046769,3.1784539,5827,0.3,0.75,"  0","  0",5.414063,20.907749
"786","MLI","2","  0.1616946",4.6520391,NA,419,0.78,0,"  1","  0",3,20.89879
"787","MLI","3","  5.6834011",5.8279099,NA,432,0.78,0,"  1","  0",3,18.351299
"788","MLI","4"," -0.8450208",5.9985762,NA,511,0.78,0,"  1","  0",3,23.40938
"789","MLI","5"," -6.0195298",5.970542,NA,524,0.78,0,"  1","  0",3,21.177521
"790","MLI","6","  4.6439161",7.6493731,1.944574,550,0.78,0,"  1","  0",3,20.265949
"791","MLI","7"," -1.6140590",7.0538211,NA,531,0.78,0,"  1","  0",3,22.697729
"842","MWI","2","  3.0829580",2.879252,NA,440,0.62,0,"  1","  0",4.471354,15.58105
"843","MWI","3","  2.4786210",2.7039449,NA,487,0.62,0,"  1","  0",4.471354,18.85474
"844","MWI","4"," -1.0015430",4.368649,0.3277685,544,0.62,0,"  1","  0",4.471354,22.52606
"845","MWI","5"," -0.4771583",3.4780359,0.6187723,495,0.62,0.25,"  1","  0",4.471354,20.39172
"846","MWI","6"," -1.8180310",6.5561471,0.5391272,502,0.62,0,"  1","  0",4.471354,21.270201
"847","MWI","7"," -1.0903569",8.1854677,0.9532723,519,0.62,0,"  1","  0",4.471354,23.02899
"850","MYS","2","  5.4419169",0.2587464,2.9462521,2154,0.72,0,"  0","  1",6.9,30.572531
"851","MYS","3","  4.4446230",0.1753249,2.844219,2791,0.72,0.25,"  0","  1",6.9,37.688251
"852","MYS","4","  4.9904332",0.1517872,2.5286281,3239,0.72,0,"  0","  1",6.9,43.58297
"853","MYS","5","  2.0842841",0.2229393,2.579,4171,0.72,0,"  0","  1",6.9,50.168159
"854","MYS","6","  3.2532790",0.2267044,2.9397221,3869,0.72,0,"  0","  1",6.9,59.92445
"855","MYS","7","  5.8947368",0.1708999,3.063112,5124,0.72,0,"  0","  1",6.9,70.08712
"874","NER","2"," -8.1013336",3.8643229,NA,805,0.73,0,"  1","  0",5.833333,8.375386
"875","NER","3"," -0.0521623",5.8960538,0.9584715,702,0.73,0,"  1","  0",5.833333,10.11362
"876","NER","4","  2.9791250",4.866395,0.8724772,643,0.73,0,"  1","  0",5.833333,12.61603
"877","NER","5"," -7.8325691",5.493156,NA,714,0.73,0,"  1","  0",5.833333,14.95434
"878","NER","6"," -1.8676430",7.778758,NA,570,0.73,0,"  1","  0",5.833333,14.20819
